userId,movieId,rating,timestamp
1,2,5.0,1757768113
1,70,5.0,1757768114
1,45,5.0,1757768115
1,27,5.0,1757768116
1,25,5.0,1757768117
1,17,5.0,1757768118
1,48,5.0,1757768119
1,20,5.0,1757768120
1,15,5.0,1757768121
1,61,5.0,1757768122
1,22,5.0,1757768123
1,19,5.0,1757768124
1,42,5.0,1757768125
1,1,5.0,1757768126
1,13,5.0,1757768127
1,14,5.0,1757768128
1,10,5.0,1757768129
1,12,5.0,1757768130
1,41,5.0,1757768131
1,28,5.0,1757768132
1,34,5.0,1757768133
1,24,5.0,1757768134
1,16,5.0,1757768135
1,26,5.0,1757768136
1,9,5.0,1757768137
1,18,5.0,1757768138
1,69,5.0,1757768139
1,8,5.0,1757768140
1,6,5.0,1757768141
1,7,5.0,1757768142
2,12,5.0,1757769113
2,22,5.0,1757769114
2,16,5.0,1757769115
2,27,5.0,1757769116
2,9,5.0,1757769117
2,8,5.0,1757769118
2,42,5.0,1757769119
2,15,5.0,1757769120
2,18,5.0,1757769121
2,39,5.0,1757769122
2,45,5.0,1757769123
2,64,5.0,1757769124
2,10,5.0,1757769125
2,2,5.0,1757769126
2,1,5.0,1757769127
2,69,5.0,1757769128
2,13,5.0,1757769129
2,34,5.0,1757769130
2,61,5.0,1757769131
2,28,5.0,1757769132
2,26,5.0,1757769133
2,70,5.0,1757769134
2,17,5.0,1757769135
2,6,5.0,1757769136
2,14,5.0,1757769137
2,41,5.0,1757769138
2,48,5.0,1757769139
2,7,5.0,1757769140
2,19,5.0,1757769141
2,25,5.0,1757769142
3,28,5.0,1757770113
3,17,5.0,1757770114
3,45,5.0,1757770115
3,48,5.0,1757770116
3,26,5.0,1757770117
3,22,5.0,1757770118
3,7,5.0,1757770119
3,64,5.0,1757770120
3,12,5.0,1757770121
3,6,5.0,1757770122
3,39,5.0,1757770123
3,24,5.0,1757770124
3,14,5.0,1757770125
3,2,5.0,1757770126
3,20,5.0,1757770127
3,69,5.0,1757770128
3,9,5.0,1757770129
3,61,5.0,1757770130
3,13,5.0,1757770131
3,44,5.0,1757770132
3,41,5.0,1757770133
3,10,5.0,1757770134
3,34,5.0,1757770135
3,1,5.0,1757770136
3,27,5.0,1757770137
3,25,5.0,1757770138
3,16,5.0,1757770139
3,42,5.0,1757770140
3,19,5.0,1757770141
3,70,5.0,1757770142
4,27,5.0,1757771113
4,42,5.0,1757771114
4,17,5.0,1757771115
4,41,5.0,1757771116
4,25,5.0,1757771117
4,19,5.0,1757771118
4,22,5.0,1757771119
4,69,5.0,1757771120
4,13,5.0,1757771121
4,9,5.0,1757771122
4,6,5.0,1757771123
4,24,5.0,1757771124
4,28,5.0,1757771125
4,1,5.0,1757771126
4,16,5.0,1757771127
4,48,5.0,1757771128
4,44,5.0,1757771129
4,45,5.0,1757771130
4,8,5.0,1757771131
4,10,5.0,1757771132
4,15,5.0,1757771133
4,14,5.0,1757771134
